表2 2019年2月7天的功率预测结果,,,,,
起报时间,预报时间,实际功率(MW),问题二LSTM方法预测功率(MW),问题三未降尺度LSTM+XGBoost方法预测功率(MW),问题四降尺度LSTM+XGBoost方法预测功率(MW)
2019/02/25/00:00,2019/02/26/18:30,0,-3.22,0.68,0.35
2019/02/25/00:00,2019/02/26/18:45,0,-0.99,0.06,0.35
2019/02/25/00:00,2019/02/26/19:00,0,0.5,0.32,0.45
2019/02/25/00:00,2019/02/26/19:15,0,0.92,0.14,0.45
2019/02/25/00:00,2019/02/26/19:30,0,0.74,0.12,0.22
2019/02/25/00:00,2019/02/26/19:45,0,0.4,0.12,0.22
2019/02/25/00:00,2019/02/26/20:00,0,0.14,0.09,0.04
2019/02/25/00:00,2019/02/26/20:15,0,-0.03,0.09,0.02
2019/02/25/00:00,2019/02/26/20:30,0,-0.14,0.09,0.02
2019/02/25/00:00,2019/02/26/20:45,0,-0.21,0.09,0.02
2019/02/25/00:00,2019/02/26/21:00,0,-0.26,0.09,0.02
2019/02/25/00:00,2019/02/26/21:15,0,-0.3,0.06,0.02
2019/02/25/00:00,2019/02/26/21:30,0,-0.32,0.06,0.02
2019/02/25/00:00,2019/02/26/21:45,0,-0.32,0.06,0.02
2019/02/25/00:00,2019/02/26/22:00,0,-0.29,0.06,0.07
2019/02/25/00:00,2019/02/26/22:15,0,-0.25,0.06,0.07
2019/02/25/00:00,2019/02/26/22:30,0,-0.19,0.06,0.04
2019/02/25/00:00,2019/02/26/22:45,0,-0.12,0.06,0.04
2019/02/25/00:00,2019/02/26/23:00,0,-0.04,0.09,0.04
2019/02/25/00:00,2019/02/26/23:15,0,0.05,0.09,0.09
2019/02/25/00:00,2019/02/26/23:30,0,0.15,0.09,0.09
2019/02/25/00:00,2019/02/26/23:45,0,0.25,0.09,0.09
2019/02/26/00:00,2019/02/27/00:00,0,0.35,0.09,0.09
2019/02/26/00:00,2019/02/27/00:15,0,0.45,0.09,0.06
2019/02/26/00:00,2019/02/27/00:30,0,0.56,0.06,0.12
2019/02/26/00:00,2019/02/27/00:45,0,0.67,0.06,0.12
2019/02/26/00:00,2019/02/27/01:00,0,0.79,0.06,0.12
2019/02/26/00:00,2019/02/27/01:15,0,0.91,0.06,0.12
2019/02/26/00:00,2019/02/27/01:30,0,1.04,0.06,0.27
2019/02/26/00:00,2019/02/27/01:45,0,1.18,0.06,0.14
2019/02/26/00:00,2019/02/27/02:00,0,1.32,0.06,0.09
2019/02/26/00:00,2019/02/27/02:15,0,1.48,0.09,0.09
2019/02/26/00:00,2019/02/27/02:30,0,1.64,0.09,0.09
2019/02/26/00:00,2019/02/27/02:45,0,1.82,0.09,0.04
2019/02/26/00:00,2019/02/27/03:00,0,2.01,0.09,0.04
2019/02/26/00:00,2019/02/27/03:15,0,2.21,0.09,0.02
2019/02/26/00:00,2019/02/27/03:30,0,2.42,0.09,0.02
2019/02/26/00:00,2019/02/27/03:45,0,2.65,0.09,0.02
2019/02/26/00:00,2019/02/27/04:00,0,2.89,0.06,0.08
2019/02/26/00:00,2019/02/27/04:15,0,3.14,1.05,0.24
2019/02/26/00:00,2019/02/27/04:30,0,3.4,1.05,0.56
2019/02/26/00:00,2019/02/27/04:45,0,3.67,1.26,0.61
2019/02/26/00:00,2019/02/27/05:00,0,3.95,1.26,0.53
2019/02/26/00:00,2019/02/27/05:15,4,4.23,3.39,1.45
2019/02/26/00:00,2019/02/27/05:30,8,9.67,12.65,7.36
2019/02/26/00:00,2019/02/27/05:45,12,15.68,12.64,10.29
2019/02/26/00:00,2019/02/27/06:00,40,20.82,18.88,18.3
2019/02/26/00:00,2019/02/27/06:15,56,57.45,43.42,52.43
2019/02/26/00:00,2019/02/27/06:30,72,79.73,62.92,76.52
2019/02/26/00:00,2019/02/27/06:45,92,94.89,81.11,95.6
2019/02/26/00:00,2019/02/27/07:00,108,114.65,93.01,114.04
2019/02/26/00:00,2019/02/27/07:15,124,129.53,119.66,131.02
2019/02/26/00:00,2019/02/27/07:30,140,144.01,145.94,143.14
2019/02/26/00:00,2019/02/27/07:45,156,159.31,176.89,155.28
2019/02/26/00:00,2019/02/27/08:00,168,175.05,203.78,170.99
2019/02/26/00:00,2019/02/27/08:15,180,184.79,204.29,182.85
2019/02/26/00:00,2019/02/27/08:30,188,195.12,213.76,189.28
2019/02/26/00:00,2019/02/27/08:45,200,200.56,224.06,196.93
2019/02/26/00:00,2019/02/27/09:00,216,213.27,229.01,206.6
2019/02/26/00:00,2019/02/27/09:15,232,232.34,295.63,230.56
2019/02/26/00:00,2019/02/27/09:30,248,249.12,367.96,254.58
2019/02/26/00:00,2019/02/27/09:45,264,264.24,396.95,267.62
2019/02/26/00:00,2019/02/27/10:00,284,279.17,444.32,284.33
2019/02/26/00:00,2019/02/27/10:15,304,300.38,469.19,301.88
2019/02/26/00:00,2019/02/27/10:30,324,320.14,497.82,325.22
2019/02/26/00:00,2019/02/27/10:45,344,338.61,527.35,341.52
2019/02/26/00:00,2019/02/27/11:00,336,357.12,566.04,358.61
2019/02/26/00:00,2019/02/27/11:15,328,331.44,574.34,346.41
2019/02/26/00:00,2019/02/27/11:30,320,317.24,569.1,306.97
2019/02/26/00:00,2019/02/27/11:45,312,310.88,570.23,304.47
2019/02/26/00:00,2019/02/27/12:00,300,303.3,580.27,309.84
2019/02/26/00:00,2019/02/27/12:15,292,288.87,564.81,294.4
2019/02/26/00:00,2019/02/27/12:30,284,281.89,523.01,279.26
2019/02/26/00:00,2019/02/27/12:45,272,274.49,505.18,276.03
2019/02/26/00:00,2019/02/27/13:00,260,259.81,493.61,265.33
2019/02/26/00:00,2019/02/27/13:15,248,246.06,472.37,248.46
2019/02/26/00:00,2019/02/27/13:30,236,233.43,453.15,232.48
2019/02/26/00:00,2019/02/27/13:45,224,220.94,434.31,220.23
2019/02/26/00:00,2019/02/27/14:00,212,208.47,426.63,210.42
2019/02/26/00:00,2019/02/27/14:15,200,196.11,379.1,200.71
2019/02/26/00:00,2019/02/27/14:30,188,183.9,333.12,189.19
2019/02/26/00:00,2019/02/27/14:45,176,171.83,300.96,177.44
2019/02/26/00:00,2019/02/27/15:00,152,159.89,266.69,165.69
2019/02/26/00:00,2019/02/27/15:15,128,132.47,216.22,140.81
2019/02/26/00:00,2019/02/27/15:30,108,105.48,158.59,102.96
2019/02/26/00:00,2019/02/27/15:45,84,86.37,117.29,85.4
2019/02/26/00:00,2019/02/27/16:00,72,63.77,77.56,63.54
2019/02/26/00:00,2019/02/27/16:15,60,54.89,68.08,50.48
2019/02/26/00:00,2019/02/27/16:30,52,47.27,59.13,49.51
2019/02/26/00:00,2019/02/27/16:45,40,42.38,44.43,45.18
2019/02/26/00:00,2019/02/27/17:00,32,31.86,29.85,34.32
2019/02/26/00:00,2019/02/27/17:15,24,24.13,21.99,25.59
2019/02/26/00:00,2019/02/27/17:30,16,17.09,19.64,18.86
2019/02/26/00:00,2019/02/27/17:45,8,9.86,10.94,11.71
2019/02/26/00:00,2019/02/27/18:00,0,2.36,2.12,3.24
2019/02/26/00:00,2019/02/27/18:15,0,-5.29,1.21,0.73
2019/02/26/00:00,2019/02/27/18:30,0,-4.23,0.68,0.35
2019/02/26/00:00,2019/02/27/18:45,0,-1.46,0.06,0.35
2019/02/26/00:00,2019/02/27/19:00,0,0.3,0.06,0.4
2019/02/26/00:00,2019/02/27/19:15,0,0.81,0.14,0.37
2019/02/26/00:00,2019/02/27/19:30,0,0.65,0.12,0.25
2019/02/26/00:00,2019/02/27/19:45,0,0.34,0.12,0.22
2019/02/26/00:00,2019/02/27/20:00,0,0.1,0.12,0.04
2019/02/26/00:00,2019/02/27/20:15,0,-0.02,0.12,0.04
2019/02/26/00:00,2019/02/27/20:30,0,-0.07,0.09,0.02
2019/02/26/00:00,2019/02/27/20:45,0,-0.09,0.09,0.02
2019/02/26/00:00,2019/02/27/21:00,0,-0.1,0.09,0.02
2019/02/26/00:00,2019/02/27/21:15,0,-0.1,0.06,0.02
2019/02/26/00:00,2019/02/27/21:30,0,-0.1,0.06,0.02
2019/02/26/00:00,2019/02/27/21:45,0,-0.08,0.06,0.02
2019/02/26/00:00,2019/02/27/22:00,0,-0.06,0.06,0.07
2019/02/26/00:00,2019/02/27/22:15,0,-0.02,0.06,0.12
2019/02/26/00:00,2019/02/27/22:30,0,0.03,0.06,0.12
2019/02/26/00:00,2019/02/27/22:45,0,0.08,0.06,0.04
2019/02/26/00:00,2019/02/27/23:00,0,0.15,0.09,0.04
2019/02/26/00:00,2019/02/27/23:15,0,0.22,0.09,0.04
2019/02/26/00:00,2019/02/27/23:30,0,0.31,0.09,0.04
2019/02/26/00:00,2019/02/27/23:45,0,0.4,0.09,0.09
2019/02/27/00:00,2019/02/28/00:00,0,0.5,0.09,0.06
2019/02/27/00:00,2019/02/28/00:15,0,0.6,0.09,0.06
2019/02/27/00:00,2019/02/28/00:30,0,0.71,0.09,0.12
2019/02/27/00:00,2019/02/28/00:45,0,0.83,0.06,0.12
2019/02/27/00:00,2019/02/28/01:00,0,0.95,0.06,0.12
2019/02/27/00:00,2019/02/28/01:15,0,1.08,0.06,0.12
2019/02/27/00:00,2019/02/28/01:30,0,1.21,0.06,0.2
2019/02/27/00:00,2019/02/28/01:45,0,1.36,0.06,0.31
2019/02/27/00:00,2019/02/28/02:00,0,1.51,0.06,0.14
2019/02/27/00:00,2019/02/28/02:15,0,1.67,0.09,0.09
2019/02/27/00:00,2019/02/28/02:30,0,1.84,0.09,0.09
2019/02/27/00:00,2019/02/28/02:45,0,2.01,0.09,0.04
2019/02/27/00:00,2019/02/28/03:00,0,2.2,0.09,0.04
2019/02/27/00:00,2019/02/28/03:15,0,2.39,0.09,0.04
2019/02/27/00:00,2019/02/28/03:30,0,2.6,0.09,0.04
2019/02/27/00:00,2019/02/28/03:45,0,2.81,0.09,0.04
2019/02/27/00:00,2019/02/28/04:00,0,3.03,0.06,0.08
2019/02/27/00:00,2019/02/28/04:15,0,3.25,1.05,0.24
2019/02/27/00:00,2019/02/28/04:30,0,3.49,1.05,0.53
2019/02/27/00:00,2019/02/28/04:45,0,3.72,1.1,0.53
2019/02/27/00:00,2019/02/28/05:00,0,3.95,1.26,1.31
2019/02/27/00:00,2019/02/28/05:15,4,4.19,2.07,1.37
2019/02/27/00:00,2019/02/28/05:30,8,9.61,12.92,7.95
2019/02/27/00:00,2019/02/28/05:45,12,15.53,13.22,10.29
2019/02/27/00:00,2019/02/28/06:00,32,20.53,19.38,18.35
2019/02/27/00:00,2019/02/28/06:15,44,46.28,54.17,37.81
2019/02/27/00:00,2019/02/28/06:30,60,62.21,79.65,62.91
2019/02/27/00:00,2019/02/28/06:45,72,79,97.28,81
2019/02/27/00:00,2019/02/28/07:00,96,89.73,112.75,91.8
2019/02/27/00:00,2019/02/28/07:15,120,116.86,138.1,114.16
2019/02/27/00:00,2019/02/28/07:30,148,144.73,165.67,144.61
2019/02/27/00:00,2019/02/28/07:45,172,175.37,196.78,175.82
2019/02/27/00:00,2019/02/28/08:00,184,198.13,227.18,203
2019/02/27/00:00,2019/02/28/08:15,200,201.95,237.29,205.87
2019/02/27/00:00,2019/02/28/08:30,212,214.75,237.29,205.88
2019/02/27/00:00,2019/02/28/08:45,224,225.14,258.45,225.03
2019/02/27/00:00,2019/02/28/09:00,268,236.04,276.52,232.6
2019/02/27/00:00,2019/02/28/09:15,312,296.69,338.75,287.11
2019/02/27/00:00,2019/02/28/09:30,352,349.29,413.06,373.4
2019/02/27/00:00,2019/02/28/09:45,396,384.81,463.07,400.2
2019/02/27/00:00,2019/02/28/10:00,432,426.68,508.18,440.33
2019/02/27/00:00,2019/02/28/10:15,468,456.44,534.62,467.72
2019/02/27/00:00,2019/02/28/10:30,504,488.47,567.18,496.75
2019/02/27/00:00,2019/02/28/10:45,540,523.13,602.02,529.84
2019/02/27/00:00,2019/02/28/11:00,552,557.75,640.57,565.53
2019/02/27/00:00,2019/02/28/11:15,564,553.48,652.95,575.95
2019/02/27/00:00,2019/02/28/11:30,572,562.12,653.08,563.74
2019/02/27/00:00,2019/02/28/11:45,580,569.87,653.68,578.54
2019/02/27/00:00,2019/02/28/12:00,564,576.96,663.87,584.82
2019/02/27/00:00,2019/02/28/12:15,544,545.73,632.55,573.68
2019/02/27/00:00,2019/02/28/12:30,528,520.5,605.67,534.52
2019/02/27/00:00,2019/02/28/12:45,508,508.08,569.02,506.45
2019/02/27/00:00,2019/02/28/13:00,492,485.28,547.8,494.05
2019/02/27/00:00,2019/02/28/13:15,476,469.12,526.86,476.49
2019/02/27/00:00,2019/02/28/13:30,460,452.63,517.98,456.93
2019/02/27/00:00,2019/02/28/13:45,444,434.91,498.91,437.48
2019/02/27/00:00,2019/02/28/14:00,408,417.44,479.84,421.64
2019/02/27/00:00,2019/02/28/14:15,376,370.26,432.33,386.16
2019/02/27/00:00,2019/02/28/14:30,340,336.12,384.7,332.84
2019/02/27/00:00,2019/02/28/14:45,304,300.27,340.73,304.24
2019/02/27/00:00,2019/02/28/15:00,256,264.39,299.85,275.27
2019/02/27/00:00,2019/02/28/15:15,208,212.64,257.11,221.44
2019/02/27/00:00,2019/02/28/15:30,156,163.59,192.89,158.94
2019/02/27/00:00,2019/02/28/15:45,108,112.33,134.87,118.19
2019/02/27/00:00,2019/02/28/16:00,92,67.34,96.13,72.62
2019/02/27/00:00,2019/02/28/16:15,72,63.57,89.02,64.97
2019/02/27/00:00,2019/02/28/16:30,56,54.43,81.32,60.86
2019/02/27/00:00,2019/02/28/16:45,40,42.98,61.34,42.77
2019/02/27/00:00,2019/02/28/17:00,32,28.91,40.46,28.48
2019/02/27/00:00,2019/02/28/17:15,24,22.95,33.59,22.58
2019/02/27/00:00,2019/02/28/17:30,16,17.66,22.17,19.04
2019/02/27/00:00,2019/02/28/17:45,8,11.07,10.89,11.71
2019/02/27/00:00,2019/02/28/18:00,0,3.52,2.2,3.84
2019/02/27/00:00,2019/02/28/18:15,0,-4.37,1.03,0.53
2019/02/27/00:00,2019/02/28/18:30,0,-3.44,0.06,0.35
2019/02/27/00:00,2019/02/28/18:45,0,-0.87,0.06,0.35
2019/02/27/00:00,2019/02/28/19:00,0,0.67,0.14,0.4
2019/02/27/00:00,2019/02/28/19:15,0,1.03,0.11,0.37
2019/02/27/00:00,2019/02/28/19:30,0,0.78,0.12,0.2
2019/02/27/00:00,2019/02/28/19:45,0,0.42,0.12,0.09
2019/02/27/00:00,2019/02/28/20:00,0,0.13,0.12,0.04
2019/02/27/00:00,2019/02/28/20:15,0,-0.05,0.12,0.04
2019/02/27/00:00,2019/02/28/20:30,0,-0.16,0.12,0.02
2019/02/27/00:00,2019/02/28/20:45,0,-0.24,0.12,0.02
2019/02/27/00:00,2019/02/28/21:00,0,-0.3,0.11,0.02
2019/02/27/00:00,2019/02/28/21:15,0,-0.34,0.06,0.02
2019/02/27/00:00,2019/02/28/21:30,0,-0.36,0.06,0.02
2019/02/27/00:00,2019/02/28/21:45,0,-0.36,0.06,0.02
2019/02/27/00:00,2019/02/28/22:00,0,-0.33,0.06,0.07
2019/02/27/00:00,2019/02/28/22:15,0,-0.28,0.06,0.12
2019/02/27/00:00,2019/02/28/22:30,0,-0.21,0.06,0.12
2019/02/27/00:00,2019/02/28/22:45,0,-0.14,0.12,0.04
2019/02/27/00:00,2019/02/28/23:00,0,-0.05,0.12,0.04
2019/02/27/00:00,2019/02/28/23:15,0,0.05,0.12,0.04
2019/02/27/00:00,2019/02/28/23:30,0,0.15,0.12,0.04
2019/02/27/00:00,2019/02/28/23:45,0,0.25,0.12,0.09
2019/02/28/00:00,2019/03/01/00:00,0,0.36,0.12,0.06
2019/02/28/00:00,2019/03/01/00:15,0,0.46,0.12,0.06
2019/02/28/00:00,2019/03/01/00:30,0,0.57,0.06,0.12
2019/02/28/00:00,2019/03/01/00:45,0,0.69,0.06,0.12
2019/02/28/00:00,2019/03/01/01:00,0,0.81,0.06,0.12
2019/02/28/00:00,2019/03/01/01:15,0,0.93,0.06,0.12
2019/02/28/00:00,2019/03/01/01:30,0,1.07,0.06,0.27
2019/02/28/00:00,2019/03/01/01:45,0,1.21,0.06,0.27
2019/02/28/00:00,2019/03/01/02:00,0,1.36,0.06,0.22
2019/02/28/00:00,2019/03/01/02:15,0,1.52,0.12,0.09
2019/02/28/00:00,2019/03/01/02:30,0,1.69,0.12,0.09
2019/02/28/00:00,2019/03/01/02:45,0,1.88,0.12,0.04
2019/02/28/00:00,2019/03/01/03:00,0,2.08,0.12,0.04
2019/02/28/00:00,2019/03/01/03:15,0,2.29,27.69,0.04
2019/02/28/00:00,2019/03/01/03:30,0,2.51,47.9,0.04
2019/02/28/00:00,2019/03/01/03:45,0,2.75,75.08,0.08
2019/02/28/00:00,2019/03/01/04:00,0,3,89.53,0.08
2019/02/28/00:00,2019/03/01/04:15,0,3.27,104.89,0.2
2019/02/28/00:00,2019/03/01/04:30,0,3.54,126.8,0.17
2019/02/28/00:00,2019/03/01/04:45,0,3.82,142.29,0.17
2019/02/28/00:00,2019/03/01/05:00,0,4.11,151.77,0.17
2019/02/28/00:00,2019/03/01/05:15,4,4.41,190.69,0.17
2019/02/28/00:00,2019/03/01/05:30,8,9.89,228.14,5.3
2019/02/28/00:00,2019/03/01/05:45,12,15.93,248.75,10.66
2019/02/28/00:00,2019/03/01/06:00,40,21.08,280.1,17.67
2019/02/28/00:00,2019/03/01/06:15,56,57.88,314.16,52.46
2019/02/28/00:00,2019/03/01/06:30,72,80.15,363.55,75.71
2019/02/28/00:00,2019/03/01/06:45,88,95.28,401.7,92.9
2019/02/28/00:00,2019/03/01/07:00,112,109.39,434.61,108.27
2019/02/28/00:00,2019/03/01/07:15,140,135.94,495.46,129.33
2019/02/28/00:00,2019/03/01/07:30,168,168.68,563.78,166.72
2019/02/28/00:00,2019/03/01/07:45,196,198.68,610.52,195.95
2019/02/28/00:00,2019/03/01/08:00,212,226.15,664.84,222.96
2019/02/28/00:00,2019/03/01/08:15,228,234.54,670.28,234.34
2019/02/28/00:00,2019/03/01/08:30,244,245.67,677.71,236.69
2019/02/28/00:00,2019/03/01/08:45,260,260.96,694.05,253.01
2019/02/28/00:00,2019/03/01/09:00,308,276.89,700.93,271.29
2019/02/28/00:00,2019/03/01/09:15,356,343.33,717.16,328.47
2019/02/28/00:00,2019/03/01/09:30,408,398.46,734.5,415.58
2019/02/28/00:00,2019/03/01/09:45,456,449.16,753.36,454.27
2019/02/28/00:00,2019/03/01/10:00,496,491.58,763.41,491.12
2019/02/28/00:00,2019/03/01/10:15,536,522.53,791.01,527.15
2019/02/28/00:00,2019/03/01/10:30,576,559.46,793.37,557.41
2019/02/28/00:00,2019/03/01/10:45,616,598.72,817.84,606.37
2019/02/28/00:00,2019/03/01/11:00,632,637.44,818.42,634.89
2019/02/28/00:00,2019/03/01/11:15,644,636.18,816.83,644.34
2019/02/28/00:00,2019/03/01/11:30,660,644.47,815.85,649.3
2019/02/28/00:00,2019/03/01/11:45,672,666.27,815.85,659.26
2019/02/28/00:00,2019/03/01/12:00,648,675.06,789.22,674.16
2019/02/28/00:00,2019/03/01/12:15,628,625.15,784.6,643.18
2019/02/28/00:00,2019/03/01/12:30,604,607.2,758.9,603.18
2019/02/28/00:00,2019/03/01/12:45,580,583.69,760.2,579.79
2019/02/28/00:00,2019/03/01/13:00,560,555.98,742.94,550.24
2019/02/28/00:00,2019/03/01/13:15,540,536.69,722.55,529.14
2019/02/28/00:00,2019/03/01/13:30,520,514.9,701.39,519.9
2019/02/28/00:00,2019/03/01/13:45,500,491.99,664.26,490.65
2019/02/28/00:00,2019/03/01/14:00,464,469.83,629.94,472.31
2019/02/28/00:00,2019/03/01/14:15,428,423.44,593.3,438.27
2019/02/28/00:00,2019/03/01/14:30,388,384.16,538.53,382.58
2019/02/28/00:00,2019/03/01/14:45,348,343.21,497.71,346.57
2019/02/28/00:00,2019/03/01/15:00,300,303.28,462.74,305.61
2019/02/28/00:00,2019/03/01/15:15,244,253.01,437.34,261.26
2019/02/28/00:00,2019/03/01/15:30,188,193.87,424.15,199.56
2019/02/28/00:00,2019/03/01/15:45,136,138.54,399.13,134.26
2019/02/28/00:00,2019/03/01/16:00,116,90.85,360.89,94.15
2019/02/28/00:00,2019/03/01/16:15,96,84.55,323.04,80.92
2019/02/28/00:00,2019/03/01/16:30,76,76.25,286.07,80.92
2019/02/28/00:00,2019/03/01/16:45,56,60.59,255.42,62.62
2019/02/28/00:00,2019/03/01/17:00,44,41.62,214.78,40.62
2019/02/28/00:00,2019/03/01/17:15,32,31.56,182.08,31.89
2019/02/28/00:00,2019/03/01/17:30,20,22.41,155.86,22.79
2019/02/28/00:00,2019/03/01/17:45,8,12.05,129.61,12.3
2019/02/28/00:00,2019/03/01/18:00,0,0.78,94.98,2.18
2019/02/28/00:00,2019/03/01/18:15,0,-6.31,79.54,0.75
2019/02/28/00:00,2019/03/01/18:30,0,-3.88,61.82,0.35
2019/02/28/00:00,2019/03/01/18:45,0,-0.51,38.25,0.31
2019/02/28/00:00,2019/03/01/19:00,0,1.18,23.31,0.4
2019/02/28/00:00,2019/03/01/19:15,0,1.41,8.83,0.37
2019/02/28/00:00,2019/03/01/19:30,0,1.01,6.95,0.2
2019/02/28/00:00,2019/03/01/19:45,0,0.55,1.81,0.04
2019/02/28/00:00,2019/03/01/20:00,0,0.21,0.8,0.04
2019/02/28/00:00,2019/03/01/20:15,0,0.01,0.06,0.02
2019/02/28/00:00,2019/03/01/20:30,0,-0.12,0.06,0.02
2019/02/28/00:00,2019/03/01/20:45,0,-0.21,0.14,0.02
2019/02/28/00:00,2019/03/01/21:00,0,-0.29,0.12,0.02
2019/02/28/00:00,2019/03/01/21:15,0,-0.34,0.12,0.02
2019/02/28/00:00,2019/03/01/21:30,0,-0.37,0.12,0.07
2019/02/28/00:00,2019/03/01/21:45,0,-0.38,0.12,0.11
2019/02/28/00:00,2019/03/01/22:00,0,-0.36,0.12,0.16
2019/02/28/00:00,2019/03/01/22:15,0,-0.31,0.12,0.26
2019/02/28/00:00,2019/03/01/22:30,0,-0.25,0.1,0.09
2019/02/28/00:00,2019/03/01/22:45,0,-0.18,0.06,0.04
2019/02/28/00:00,2019/03/01/23:00,0,-0.09,0.06,0.04
2019/02/28/00:00,2019/03/01/23:15,0,0,0.06,0.04
2019/02/28/00:00,2019/03/01/23:30,0,0.1,0.06,0.04
2019/02/28/00:00,2019/03/01/23:45,0,0.21,0.06,0.04
